new file \n Binary files / dev / null and b / art / intro . png differ \n,Added intro image .,repo70
. travis . yml \n - rbx - 2 . 0 \n - ree \n - jruby \n + - rbx - 18mode \n,Add rbx - 18mode to .,repo105
deleted file \n Binary files a / app / src / main / jniLibs / armeabi - v7a / gdbserver and / dev / null differ \n,remove unused lib,repo688
pdex / src / processing / mode / experimental / CompilationChecker . java \n - return true ; \n + return false ; \n,Bring back warnings,repo185
AUTHORS \n + Bruce Allen \n,Add Bruce for C # report,repo18
version . gradle \n - shortVersion = ' 4 . 1 . 8 ' \n - isSnapshot = false \n + shortVersion = ' 4 . 1 . 9 ' \n + isSnapshot = true \n,Smack 4 . 1 . 9 - SNAPSHOT,repo796
Binary files a / lib / installer - exclude / fmj . jar and b / lib / installer - exclude / fmj . jar differ \n,Mitigates deadlocks related to synchronization source identifier ( SSRC ) - related information lookup .,repo794
build . gradle \n - versionCode = 15113 \n - versionName = ' 23 - beta4 ' \n + versionCode = 15114 \n + versionName = ' 23 - beta5 ' \n,Prepare version 23 - beta5 .,repo779
new file \n tools / layoutlib / bridge / . gitignore \n + bin / * \n,Add file to ignore the content of the layoutlib / Bridge Eclipe bin folder .,repo67
h2o - core / src / main / java / water / HeartBeatThread . java \n - import water . persist . Persist ; \n,Remove unused import .,repo216
src / cpp / session / modules / presentation / SessionPresentation . cpp \n + / / TODO : depends should be a feature of presentations \n + / / TODO : auto - prompt for installation of pres packages \n,add todos,repo535
src / info / guardianproject / otr / app / im / ui / RoundedAvatarDrawable . java \n - private int mBorderWidth = 6 ; \n + private int mBorderWidth = 4 ; \n,make round avatars a little bigger with a smaller border,repo846
core / java / android / view / ViewGroup . java \n + } else { \n + next = null ; \n + child = null ; \n,Fix memory leak with TouchTargets not being recycled .,repo67
common / net / minecraft / src / buildcraft / core / EntityLaser . java \n - \n + \n + public int getBrightnessForRender ( float par1 ) \n + { \n + return 210 ; \n + } \n,Should fix black laser beams .,repo1000
"src / main / groovy / org / terasology / data / blocks / definitions / furniture / DoorBottom . groovy \n + shape = "" engine : door "" \n",Added a shape to DoorBottom,repo439
Binary files a / apk / ZhihuDailyPurify . apk and b / apk / ZhihuDailyPurify . apk differ \n,Download apk directly from here,repo212
new file \n manual / src / main / resources / qanda / index . txt \n + [ qanda ] \n + Question one : : \n + Answer one . \n + Question two : : \n + Answer two . \n + \n,Started a Q and A section .,repo181
new file \n . travis . yml \n + language : java \n + jdk : oraclejdk6 \n,Add travis file to continous integration,repo917
CHANGELOG . md \n + * STORM - 1713 : Replace NotImplementedException with UnsupportedOperationException \n,add STORM - 1713 to CHANGELOG . md,repo137
DanmakuFlameMaster / src / main / java / master / flame / danmaku / controller / CacheManagingDrawTask . java \n + mCacheTimer . update ( mTimer . currMillisecond ) ; \n,Fix possible forever cache - miss after ScaleTextSize updated,repo139
NEWS . md \n + * Enable data import preview to be cancelled \n + * Enable data import to cache web files \n,update news with data import improvements,repo535
version . gradle \n - shortVersion = ' 4 . 1 . 0 - alpha6 ' \n - isSnapshot = false \n + shortVersion = ' 4 . 1 . 0 - alpha7 ' \n + isSnapshot = true \n,Smack 4 . 1 . 0 - alpha7 - SNAPSHOT,repo796
pom . xml \n - < version > 6 . 14 . 1 - SNAPSHOT < / version > \n + < version > 6 . 14 . 1 < / version > \n,prepare release checkstyle - 6 . 14 . 1,repo611
_base / script / cd . sh \n - DIR = distribution / target / orientdb - community - $ VER - distribution . dir / orientdb - community - $ VER / \n + DIR = distribution / target / orientdb - community - $ VER . dir / orientdb - community - $ VER / \n,Fixed cd . sh script,repo223
cmds / content / Android . mk \n + \n + \n + LOCAL_MODULE_TAGS : = optional \n + \n,Fixing the build .,repo67
README . md \n - NOTE : TwoWayView ' s API is not final yet and code is under heavy development \n - at the moment . Feedback and \n - patches are very welcome ! \n - \n,Remove redundant cautionary note,repo92
Binary files a / lib / pty4j - 0 . 6 . jar and b / lib / pty4j - 0 . 6 . jar differ \n Binary files a / lib / src / pty4j - 0 . 6 - src . jar and b / lib / src / pty4j - 0 . 6 - src . jar differ \n,Fix running pty process with spaces in path on Windows ( PY - 18221 ),repo145
"build . gradle \n - version = "" 0 . 4 . 1 "" \n + version = "" 0 . 4 . 2 - SNAPSHOT "" \n - mavenCentral ( ) \n + mavenCentral ( ) \n",set correct version,repo266
test / com / chrisrm / idea / icons / AssociationsTest . java \n + @ Deprecated \n + @ Deprecated \n,Fix tests,repo156
"library / build . gradle \n - versionCode 2 \n - versionName "" 1 . 0 . 1 "" \n + versionCode 3 \n + versionName "" 1 . 0 . 2 "" \n",update library version to 1 . 0 . 2,repo425
"build . bash \n + if ! $ BUILD_BOSH & & [ [ $ SRC_DIR = = "" jbosh "" ] ] ; then \n + continue ; \n + fi \n + \n",Don ' t record jbosh version if bosh is not build,repo672
deleted file \n Binary files a / lib / skinlf . jar and / dev / null differ \n,Not using any more,repo794
platform / platform - impl / src / com / intellij / execution / process / RunnerMediator . java \n - sendSigInt ( myProcessUid ) ; \n + sendSigKill ( myProcessUid ) ; \n,fixed django process termination ( PY - 2015 ),repo145
old mode 100644 \n new mode 100755 \n,Made ci_macosx .,UNKNOWN
src / com / goide / sdk / GoSdkType . java \n - return GoEnvironmentUtil . getExecutableForSdk ( path ) . canExecute ( ) ; \n + return GoEnvironmentUtil . getExecutableForSdk ( path ) . canExecute ( ) & & getVersionString ( path ) ! = null ; \n,Adjust homebrew go sdk path,repo121
new file \n Binary files / dev / null and b / doc / comps / Gibber_ui_chats . png differ \n new file \n Binary files / dev / null and b / doc / comps / gibber_ui_contacts . png differ \n,Added Sprint 2 comps,repo846
"README . md \n + On MacOSX we currently only support the system python , so please use ` / usr / bin / python run_mission . py ` if not the default . \n + \n",added note about using system Python on MacOSX,repo325
Libraries / ReactNative / createReactNativeComponentClass . js \n + Constructor . prototype . constructor = Constructor ; \n,Set constructor properly in createReactNativeComponentClass,repo1
src / java / org / jivesoftware / messenger / starter / ServerStarter . java \n - import org . jivesoftware . messenger . container . starter . JiveClassLoader ; \n - \n,Removed incorrect import,repo947
trunk / JLanguageTool / src / java / de / danielnaber / languagetool / rules / Rule . java \n - * @ return \n,avoid compiler warning,repo989
driver / src / main / org / mongodb / util / FieldHelpers . java \n + / / TODO : Not sure about this class . Is it generally applicable enough to be public ? \n,Updated TODO,repo458
build . gradle \n - version = ' 2 . 0 . 2 ' \n + version = ' 2 . 0 . 3 ' \n,Bump the version to 2 . 0 . 3,repo718
new file \n Binary files / dev / null and b / core / res / res / drawable - hdpi / ic_media_fullscreen . png differ \n new file \n Binary files / dev / null and b / core / res / res / drawable - ldpi / ic_media_fullscreen . png differ \n new file \n Binary files / dev / null and b / core / res / res / drawable - mdpi / ic_media_fullscreen . png differ \n,Adding placeholders for the fullscreen button,repo67
media / tests / MediaFrameworkTest / Android . mk \n + LOCAL_JAVA_LANGUAGE_VERSION : = 1 . 8 \n,Add flags needed to switch Jack to 1 . 8 for CTS targets,repo67
pom . xml \n + < include > booleanTest . json < / include > \n,Added booleanTest . json to pom . xml,repo850
new file \n Binary files / dev / null and b / . gradle / caches / modules - 2 / files - 2 . 1 / com . liferay / com . liferay . gradle . plugins / 1 . 0 . 9 / b96650b66b7ff1f54baf644111b305f2a60937bd / com . liferay . gradle . plugins - 1 . 0 . 9 . jar differ \n,LPS - 58116 add cache back in for now,repo934
app / assets / javascripts / rickshaw - helper . js \n - return NaN ; \n - return 0 ; \n,Convert NaN to 0 on histograms,repo266
new file \n Binary files / dev / null and b / OsmAnd - java / libs / gson - 2 . 6 . 2 . jar differ \n new file \n Binary files / dev / null and b / OsmAnd - java / libs / hamcrest - core - 1 . 3 . jar differ \n new file \n Binary files / dev / null and b / OsmAnd - java / libs / junit - 4 . 12 . jar differ \n,Add libs for unit tests .,repo960
src / test / java / twitter4j / AsyncTwitterTest . java \n - this . wait ( 15000 ) ; \n + this . wait ( 30000 ) ; \n,extending async testunit timeout,repo357
library / src / main / java / com / chad / library / adapter / base / entity / MultiItemEntity . java \n - public int getItemType ( ) ; \n + int getItemType ( ) ; \n,update multipleEntity,repo119
CHANGES . txt \n - = = = = = = = \n,remove separator in CHANGES . txt,repo183
new file \n core / methods / . gitignore \n + demo \n + methods . jar \n,need this guy too,repo185
. travis . yml \n - - openjdk6 \n - openjdk7 \n,Drop the openjdk 6 CI shard .,repo703
new file \n Binary files / dev / null and b / Refs / reference_to_sdk . PNG differ \n deleted file \n Binary files a / Simple Facebook / libs / android - support - v4 . jar and / dev / null differ \n,Added reference,repo939
hcatalog / bin / hcat \n - HIVE_CONF_DIR = $ { HIVE_HOME } / conf \n + HIVE_CONF_DIR = $ { HIVE_CONF_DIR : - $ HIVE_HOME / conf } \n,Script hcat is overriding HIVE_CONF_DIR variable ( Jarek Jarcec Cecho via Ashutosh Chauhan ),UNKNOWN
include / media / PVPlayer . h \n - void * mMemBase ; \n - off_t mMemSize ; \n + int mSharedFd ; \n,"Revert "" Enable OpenCORE on master - part 1 """,repo67
README . md \n - MongoDB Hadoop Adapater \n + MongoDB Hadoop Adapter \n + \n + Open Items \n + - - - - - - - - - - \n + - Support and document XML Job configurations \n + \n + \n,Add a README section for open items to remind me to check & test XML,repo719
core / common / src / main / java / alluxio / resource / CloseableResource . java \n + @ Override \n,Add missing @ Override,repo934
"actor - server / project / Dependencies . scala \n - scrImageCore \n + scrImageCore , \n + sprayClient \n",add spreay dependency to core subproject,repo194
. idea / libraries / JSch . xml \n - < / component > \n + < / component > \n,Commit the automatic trailing newline in JSch config file,repo145
py / h2o_hosts . py \n - rand_shuffle = True \n + rand_shuffle = paramsToUse [ ' rand_shuffle ' ] \n,use the passed param for ' rand_shuffle ' when writing flatfile ( I had left it harwired to True .,UNKNOWN
new file \n Binary files / dev / null and b / doc / images / faunus - diagram . png differ \n,added faunus diagram .,repo108
SeriesGuide / src / main / java / com / battlelancer / seriesguide / util / ShortcutUtils . java \n - AndroidUtils . executeAsyncTask ( shortCutTask ) ; \n + AndroidUtils . executeOnPool ( shortCutTask ) ; \n,Use new AndroidUtils . executeOnPool .,repo779
gradle . properties \n - version = 2 . 0 . 0 - beta - SNAPSHOT \n + version = 2 . 0 . 0 - SNAPSHOT \n,updating astyanax version to 2 . 0 from 2 . 0 - beta,repo998
build . gradle \n + copy . execute ( ) \n,Add fetch task to gradle script,repo21
"gradle / code_quality . gradle \n + jacoco . reportsDir = file ( "" $ { rootDir } / build / reports / jacoco "" ) \n + \n",Fix jacoco report directory for coveralls,repo408
source / com / intellij / openapi / vcs / changes / ChangeListManagerImpl . java \n - if ( myDisposed ) { \n + if ( ! myDisposed ) { \n,Fix broken update .,repo145
app / src / main / java / org / schabi / newpipe / MainActivity . java \n + @ Override \n,Add missing Override decorator,repo949
util - taglib / src / com / liferay / taglib / ui / SearchContainerTag . java \n + _total = 0 ; \n,LPS - 35134 Fix small issue detected,repo934
build . gradle \n - versionCode = 11261 \n - versionName = ' 14 - beta4 ' \n + versionCode = 11262 \n + versionName = ' 14 - beta5 ' \n,"Push version to 14 - beta5 , 11262 .",repo779
gradle . properties \n - VERSION_NAME = 1 . 1 . 1 - SNAPSHOT \n + VERSION_NAME = 1 . 1 . 1 \n,Bump version to 1 . 1 . 1 ( in gradle . properties ),repo50
"bigbluebutton - client / resources / config . xml . template \n - useWebRTCIfAvailable = "" true "" \n + useWebRTCIfAvailable = "" false "" \n",disable webrtc deskshare for now,repo428
README . md \n - All of the following reids features are supported : \n + All of the following redis features are supported : \n - Sorting \n - Connection handling \n,Fixed typo,repo379
core / java / android / widget / TextView . java \n + \n + if ( mLayout ! = null ) { \n + checkForRelayout ( ) ; \n + } \n,Fix bug # 12422326 Unable to change text direction programmatically using setTextDirection Android SDK API,repo67
v8 / renderscript / rs_support / Android . mk \n - LOCAL_ADDRESS_SANITIZER : = false \n + LOCAL_SANITIZE : = never \n,Use new sanitizer option .,repo67
"library / build . gradle \n - versionCode 16 \n - versionName "" 1 . 2 . 8 "" \n + versionCode 30 \n + versionName "" 1 . 3 . 0 "" \n",Update the version to 1 . 3 . 0,repo438
gradle / performanceTest . gradle \n - } \n - \n - tasks . withType ( JvmProjectGeneratorTask ) { \n,Fix project generator task dependency on creating measurement plugin jar,repo109
WordPress / src / main / java / org / wordpress / android / ui / reader / ReaderPostDetailFragment . java \n + \n + trackRelatedPostsIfShowing ( ) ; \n,Returned missing call to trackRelatedPostsIfShowing ( ),repo644
